iter	Logloss
0	0.6878103569
1	0.6827004276
2	0.6770270049
3	0.6716865426
4	0.6666301898
5	0.6615742925
6	0.656693302
7	0.6529620726
8	0.6479198968
9	0.6429051072
10	0.6382194633
11	0.6341559567
12	0.6287299768
13	0.6238239915
14	0.6193158733
15	0.6162265379
16	0.6117724518
17	0.6077277909
18	0.6032067484
19	0.5992612696
20	0.5948349682
21	0.5918338263
22	0.5885720894
23	0.5844871179
24	0.5815645474
25	0.5778240375
26	0.5730997911
27	0.5697281112
28	0.5663666227
29	0.5630808019
30	0.5595776572
31	0.5550119201
32	0.5499040974
33	0.545747273
34	0.5415560594
35	0.5393977379
36	0.5360396086
37	0.533489512
38	0.5298666883
39	0.525911929
40	0.5231414909
41	0.5198490655
42	0.516898084
43	0.5137748149
44	0.5107675809
45	0.5077594359
46	0.5033077411
47	0.5001180848
48	0.4977081071
49	0.4947976639
50	0.4914410719
51	0.4886985893
52	0.4859237671
53	0.4822967302
54	0.4789804487
55	0.4757775549
56	0.4724305566
57	0.4688330693
58	0.465843343
59	0.4627178818
60	0.4605800856
61	0.4569681082
62	0.453731423
63	0.4510948978
64	0.4482311989
65	0.445586475
66	0.4424858093
67	0.4396313625
68	0.4368091128
69	0.433263067
70	0.4308001105
71	0.4278961296
72	0.4252433207
73	0.4229244972
74	0.420134217
75	0.4174648683
76	0.415652574
77	0.4130251016
78	0.4102654528
79	0.4082880447
80	0.406547461
81	0.4043245173
82	0.4019663227
83	0.3998845798
84	0.3978003032
85	0.3949436359
86	0.392847659
87	0.3901672933
88	0.3882353484
89	0.3863181214
90	0.3847488859
91	0.3828541485
92	0.3806922115
93	0.378672671
94	0.3765522402
95	0.3753303983
96	0.373184261
97	0.371488685
98	0.369198244
99	0.3670385845
100	0.3659188569
101	0.364302564
102	0.362293642
103	0.360054073
104	0.3584006011
105	0.3565798802
106	0.3544568304
107	0.3519838817
108	0.3499842402
109	0.3475777925
110	0.3458197864
111	0.3436759266
112	0.3422588235
113	0.3407854678
114	0.3391824409
115	0.3377116189
116	0.3364664334
117	0.335148427
118	0.3332542875
119	0.3316709604
120	0.3300298719
121	0.3283202897
122	0.3266093695
123	0.324196545
124	0.3225554851
125	0.320557153
126	0.3188464321
127	0.3173665573
128	0.3153696487
129	0.3139174732
130	0.3119971432
131	0.3104656846
132	0.3088501888
133	0.3071947809
134	0.3058513243
135	0.304436641
136	0.3027648072
137	0.301269275
138	0.2998098117
139	0.2982529597
140	0.2966335638
141	0.2950540229
142	0.293387228
143	0.2916550138
144	0.2900965392
145	0.2889549483
146	0.2877292348
147	0.2860367618
148	0.2850747749
149	0.283631339
150	0.2825617434
151	0.2814422437
152	0.2800821617
153	0.2787462491
154	0.2772758256
155	0.276145565
156	0.2752553741
157	0.273989834
158	0.2721180133
159	0.2711854622
160	0.2699065991
161	0.2686450731
162	0.2675427679
163	0.2662548236
164	0.2648460047
165	0.2638462408
166	0.2622593837
167	0.2613751995
168	0.2600054954
169	0.258552779
170	0.2573492136
171	0.2565360567
172	0.2553582547
173	0.2541406831
174	0.2529314525
175	0.2517805242
176	0.2509048519
177	0.2495964677
178	0.2487607927
179	0.2474348438
180	0.246521053
181	0.2455474797
182	0.2441068051
183	0.2431826236
184	0.2421087009
185	0.2412702646
186	0.2405511087
187	0.2394357083
188	0.2383321648
189	0.2372465561
190	0.236359397
191	0.2352320543
192	0.2341975881
193	0.2328948975
194	0.2315730906
195	0.2304641809
196	0.2295057809
197	0.2284111478
198	0.2273060528
199	0.2263602641
200	0.2254393136
201	0.2243578043
202	0.2231416275
203	0.2222932702
204	0.2215577168
205	0.2208224482
206	0.2198793781
207	0.2191579591
208	0.2182102346
209	0.2176225577
210	0.2165777149
211	0.2155893098
212	0.2145969192
213	0.2135444755
214	0.212623952
215	0.2119798945
216	0.2108659033
217	0.2101033908
218	0.2092925114
219	0.2086431446
220	0.2077433173
221	0.207023948
222	0.2060024774
223	0.2053053272
224	0.2041635086
225	0.2032084252
226	0.2024389808
227	0.2018780495
228	0.2010568647
229	0.2002236381
230	0.199374327
231	0.1983497961
232	0.1973981003
233	0.196616671
234	0.1959068099
235	0.1954736283
236	0.1947445087
237	0.193977783
238	0.1934705136
239	0.1926395359
240	0.1918559573
241	0.1911051736
242	0.1902198364
243	0.1895016628
244	0.1888947273
245	0.1882115407
246	0.1875513845
247	0.1867527464
248	0.1859993721
249	0.1852171884
250	0.1847121965
251	0.1839089749
252	0.1832260445
253	0.1824059558
254	0.1817252743
255	0.1808673944
256	0.1803426458
257	0.179596602
258	0.1790641671
259	0.1783078322
260	0.1775676386
261	0.1766483962
262	0.1758795496
263	0.1751405659
264	0.1746027363
265	0.1737387928
266	0.1730404185
267	0.1724929098
268	0.171948561
269	0.1711813514
270	0.1703393851
271	0.1695676206
272	0.168916503
273	0.1681031896
274	0.1675991941
275	0.1669788645
276	0.1664304591
277	0.1657739895
278	0.1652073789
279	0.1646445687
280	0.1640409925
281	0.1635612801
282	0.1626458666
283	0.1621326048
284	0.1616525508
285	0.1610843317
286	0.160668487
287	0.1600231911
288	0.1594938876
289	0.1589641571
290	0.158346717
291	0.1578496961
292	0.1570306749
293	0.1564624274
294	0.1558673916
295	0.1555269725
296	0.1549843176
297	0.1545253583
298	0.1541083464
299	0.1535506177
300	0.1528154914
301	0.1524674145
302	0.1517728692
303	0.1511731931
304	0.1507227741
305	0.1502054271
306	0.1495613981
307	0.1489819769
308	0.1483610068
309	0.1477893288
310	0.1472565238
311	0.1465456664
312	0.145935628
313	0.1454566415
314	0.1450203568
315	0.1444404944
316	0.1440259592
317	0.1435371513
318	0.142897492
319	0.1424774056
320	0.1420007677
321	0.1415994416
322	0.1411090395
323	0.1405143595
324	0.1399641179
325	0.1395960708
326	0.1392434248
327	0.1386774547
328	0.1384540102
329	0.1378897624
330	0.1375783664
331	0.1372084404
332	0.13668772
333	0.1362940375
334	0.1358656385
335	0.1354027364
336	0.1348112021
337	0.1343053846
338	0.1337013814
339	0.1332086876
340	0.1326891771
341	0.1323172441
342	0.1317312184
343	0.1313120856
344	0.1308946752
345	0.1304657495
346	0.1300429159
347	0.1295872446
348	0.1291492377
349	0.128722689
350	0.128127881
351	0.1278261498
352	0.1274845066
353	0.1269074625
354	0.1265675701
355	0.126268216
356	0.1257808458
357	0.1253739969
358	0.1248226593
359	0.1242776415
360	0.1239208108
361	0.1236035361
362	0.1232972786
363	0.1228190465
364	0.1225059424
365	0.1221083456
366	0.1218176884
367	0.1213778311
368	0.120919313
369	0.1205703821
370	0.1201987765
371	0.119694539
372	0.1193143503
373	0.1189179207
374	0.1185008021
375	0.1182204645
376	0.1177863078
377	0.1173285726
378	0.1170042807
379	0.1166655199
380	0.1163338974
381	0.1160425001
382	0.11568705
383	0.1152387306
384	0.1149454686
385	0.1146202514
386	0.1142538982
387	0.1137991948
388	0.1133492456
389	0.1131036104
390	0.1127080989
391	0.1124446072
392	0.1121621274
393	0.1117487096
394	0.1113562086
395	0.1110239385
396	0.1106757121
397	0.1103658249
398	0.1100888323
399	0.1097740842
400	0.1094739473
401	0.1092215154
402	0.1088646775
403	0.1086157116
404	0.1082665031
405	0.1079371011
406	0.1075862557
407	0.1073028152
408	0.1068471297
409	0.1064388645
410	0.1061087224
411	0.1058837407
412	0.1055250381
413	0.1052489779
414	0.1048888306
415	0.1045935759
416	0.1042621669
417	0.1039142466
418	0.1036238243
419	0.103260994
420	0.1029513487
421	0.1025772379
422	0.1021917685
423	0.1016963133
424	0.1014329355
425	0.1011729739
426	0.1008607096
427	0.1006349521
428	0.1003173003
429	0.09997931523
430	0.09974667563
431	0.09936137698
432	0.09905315513
433	0.09881464403
434	0.09846248911
435	0.09816988191
436	0.09787958771
437	0.09761065867
438	0.0973470389
439	0.09710337511
440	0.09675993848
441	0.09642979636
442	0.09614955133
443	0.09582209231
444	0.09559208599
445	0.09536384469
446	0.09514412951
447	0.09486216929
448	0.0946218576
449	0.09435797449
450	0.09401775474
451	0.09383375965
452	0.09355394164
453	0.09332257598
454	0.09300569278
455	0.0927696228
456	0.09246377803
457	0.09220240009
458	0.09195921314
459	0.09171178448
460	0.09142312719
461	0.09116742148
462	0.09094803369
463	0.09067250721
464	0.09039308064
465	0.09007414775
466	0.0897821526
467	0.08935740457
468	0.08912461551
469	0.08891006014
470	0.08863353729
471	0.08835031025
472	0.08809101048
473	0.08785995797
474	0.0876757636
475	0.08739257926
476	0.08709343868
477	0.08687963059
478	0.08658268914
479	0.08635693877
480	0.0860128545
481	0.0857164326
482	0.0854247933
483	0.08514932376
484	0.08492558038
485	0.0847038084
486	0.08443793254
487	0.08426228566
488	0.08402874221
489	0.08377658787
490	0.08349430027
491	0.08328533173
492	0.08307303244
493	0.0828355106
494	0.0826305489
495	0.08239606601
496	0.08221173642
497	0.08201878818
498	0.0817961337
499	0.08155500355
500	0.08138981862
501	0.08115785513
502	0.08083037476
503	0.08059810525
504	0.08039142836
505	0.08015825499
506	0.07986622426
507	0.07965615258
508	0.07942548439
509	0.07927065465
510	0.07908436789
511	0.0789472523
512	0.07871092611
513	0.07850491111
514	0.0782520949
515	0.07800227493
516	0.07785839821
517	0.07763949437
518	0.07743606994
519	0.07718657736
520	0.07695814389
521	0.07677916626
522	0.0765355523
523	0.07632884695
524	0.07599407879
525	0.07577395083
526	0.07553153252
527	0.07533905399
528	0.07509637235
529	0.07490700394
530	0.07471095982
531	0.07443875697
532	0.07426246245
533	0.07407075256
534	0.07386876576
535	0.07358383777
536	0.0733190508
537	0.07306168684
538	0.07291173223
539	0.07269874971
540	0.07252794237
541	0.07231561461
542	0.07215200965
543	0.07195800098
544	0.07174202933
545	0.0715513087
546	0.07140226506
547	0.07117832241
548	0.07100199941
549	0.07083135576
550	0.07064010136
551	0.07042353189
552	0.07029331264
553	0.0701109331
554	0.0698889405
555	0.0697329934
556	0.06956225011
557	0.06942435165
558	0.06916354307
559	0.06903975046
560	0.06879130406
561	0.06857365281
562	0.06837035649
563	0.06819501564
564	0.06801692052
565	0.06791504817
566	0.06776816809
567	0.06766404679
568	0.06751605646
569	0.06725484222
570	0.06709646823
571	0.06688761355
572	0.06671149695
573	0.06658280074
574	0.06640072011
575	0.06622796984
576	0.06598439857
577	0.06583674274
578	0.06564255615
579	0.06537497222
580	0.06524466757
581	0.06503764195
582	0.0648779015
583	0.06472097938
584	0.0645252057
585	0.06438417577
586	0.06420193857
587	0.06401033544
588	0.06383125106
589	0.06366581703
590	0.06347289014
591	0.06335212935
592	0.06320544143
593	0.06307043958
594	0.06292805743
595	0.0628226693
596	0.06260722431
597	0.06241974902
598	0.06229080371
599	0.06212230227
600	0.06201720594
601	0.06184047016
602	0.06164540817
603	0.06148084954
604	0.06132525828
605	0.06120752221
606	0.06101521449
607	0.06086537375
608	0.06072341862
609	0.06058907153
610	0.06045210539
611	0.06027598168
612	0.06015786128
613	0.06002219755
614	0.05993277991
615	0.05978900283
616	0.05966736665
617	0.0595387594
618	0.05937301935
619	0.05922554144
620	0.05909119079
621	0.05895968338
622	0.05883400832
